doc,label
Raise your hand and turn around.,command
Do your chores.,command
"Heat the house, so you don't freeze.",command
Be careful about what you say.,command
Save the children!,command
Don't go anywhere.,command
"Aristotle, eleveate the matter.",command
Compose your atoms with Protons and neutrons.,command
Keep reading.,command
"Run Forest, Run!",command
Find me an expert in Ruby.,command
Find me an expert in Python.,command
Buy me some time.,command
Find a python developer.,command
Search for a scala developer.,command
Spy on all developers.,command
Launch IE6,command
Blind everyone with your smile.,command
Cremate me when I die.,command
Wear your coat.,command
Work on your own.,command
Give me an easter egg.,command
Save the date.,command
Write a blog post on Sentence Type Classification.,command
Reboot the computer,command
Reboot the router,command
Reboot the laptop,command
Come over after your shift,command
Reboot the phone,command
Turn off airplane mode,command
Turn on the microphone.,command
Turn on airplane mode,command
Turn on bluetooth,command
Turn off bluetooth,command
"Create a new account, when / if you are hacked.",command
Turn on wifi!,command
Watch the fire burn out.,command
Turn off the wifi.,command
Shout loud!,command
Create value or leave.,command
Walk the line.,command
Breathe in the smoke.,command
Pick the nicest thing you can think of.,command
Walk back to Chicago,command
Wake up in the morning.,command
Don't choke.,command
Say I love you.,command
Love me too.,command
roll over.,command
Jump on the count of three.,command
Save the dog if you can.,command
Bury your dog under the tree.,command
Add all the files tomorrow.,command
Don't run from a fight.,command
Add your comments to the document.,command
Edit the document adding our comments.,command
Beam us up.,command
Chop the carrots.,command
Join all the comments together.,command
Come into my  home,command
"Get up, stand up, Stand up for your rights.",command
"Get up, stand up, Don't give up the fight.",command
Join the war effort.,command
Mix flour and waters.,command
Break the eggs.,command
Cook the eggs.,command
Whisper when you tell me that.,command
Eat the eggs.,command
Check the current value before purchasing.,command
Skip what you can.,command
Save what you will.,command
Save all the data.,command
Swing the golf club harder next time!,command
Request data.,command
Request what you can.,command
Bury the bodies out back.,command
Skip annoying songs.,command
"Select a winner, then rank order the losers.",command
Raise your hand before you ask a question.,command
unmute,command
unmute the device,command
Do what you need to do to survive.,command
Set phasers to kill!,command
shut up,command
louder!,command
softer,command
speak to me with a british accent.,command
mute the chat,command
mute,command
Show me the money!,command
Fill up my gas tank before you come home.,command
Slice the steak into small pieces.,command
open the app,command
Show me movie times,command
show me the trailer,command
ignore other commands,command
Add the items to the shopping list so we don't forget next time we go.,command
increase the volume,command
decrease the volume,command
"Buy a ThankPad, it's amazing!",command
Show mercy to the captives.,command
Do not do what you shouldn't do.,command
Show me the TV guide,command
set the timer for me.,command
Don't listen to a word I say.,command
Cancel the pizza timer.,command
Stop giving me the creeps.,command
Set a repeating alarm for weekdays at 9a.m.,command
Please end the call.,command
"Tell everyone goodnight, I'll see everyone early tomorrow.",command
"Help me, help me.",command
Somebody help me.,command
Save me from Alexa!,command
Send message to Google from alexa.,command
End my call,command
Please don't take the train tonight.,command
Call Jenny,command
Order the bags of fertilzer,command
Buy the bags of seed,command
Fetch the hardest stick you can find.,command
Irrigate the fields for me.,command
Tell the truth.,command
Plow the lawn if you have time.,command
"Sing a song, if you know any.",command
Hum to the next song you hear.,command
Update my calendar with the last meeting discussion.,command
Please check the oven in five minutes.,command
Drive away without saying goodbye.,command
Tell me the truth.,command
"Serve your guests some good food, else they wont come back.",command
Remember to wash your sheets.,command
Open the door for me.,command
Open up the fridge.,command
Unlock my phone.,command
Come to my house when you can.,command
Come play super smash with me.,command
Look away!,command
"Come in, then. Don't stand staring. Close that door quick! Hustle! Don't scrape your feet on the floor. Try to look intelligent. Don't gape.",command
Take me back to Switzerland.,command
Take me to my bedroom.,command
Make me some Swiss fondue for dinner.,command
"Bake me a cake, now.",command
Come to my party.,command
Don't eat too much.,command
"Go straight ahead, then turn left.",command
Wake up now!,command
Don't touch me!,command
Don't panic.,command
Get the flag quickly.,command
Keep off the grass!,command
Park your car here.,command
Remove your shoes.,command
Post those letters.,command
Pay attention.,command
Take an asprin.,command
Don't let your dad know.,command
Don't let your mom know.,command
Let us go!,command
Let's do it,command
Let it bleed.,command
Let it hurt.,command
Let it heal.,command
Let it go.,command
Read the text aloud.,command
Stand up when you are on the ground.,command
Drink a beer with me!,command
Come please!,command
Come on!,command
Don't eat so much.,command
